Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT_FORMATTED)"
"1942","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","511"
"1952","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","548"
"1957","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","617"
"1962","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","733"
"1967","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","797"
"1972","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","876"
"1977","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","950"
"1982","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","1,019"
"1987","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","1,054"
"1992","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","1,122"
"1997","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","1,132"
"2002","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","1,172"
"2007","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","1,186"
"2012","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","1,209"
"2017","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","1,196"
"2022","Alabama","Government Organization","Total Federal, state, and local government units","State and Local","1,209"
"1942","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","X"
"1952","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","49"
"1957","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","42"
"1962","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","57"
"1967","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","62"
"1972","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","121"
"1977","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","151"
"1982","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","157"
"1987","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","173"
"1992","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","175"
"1997","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","176"
"2002","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","176"
"2007","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","178"
"2012","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","178"
"2017","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","180"
"2022","Alaska","Government Organization","Total Federal, state, and local government units","State and Local","182"
"1942","Arizona","Government Organization","Total Federal, state, and local government units","State and Local","499"
"1952","Arizona","Government Organization","Total Federal, state, and local government units","State and Local","367"
